번호,대리점,이름,연락처,생년월일,주소,면허종류,흡연유무,탁송보험,사고점수,평점,고객리뷰,신뢰도,등급,비고
26_1,서울동부대리점,강지수,010-7532-5936,851054,서울동부 중앙9길 13,1종 대형,무,DB손해,6,98,100,90,B,
26_2,서울동부대리점,한서아,010-2929-1492,741088,서울동부 강남대로 100,1종 대형,무,KB손해,6,90,93,95,B,
26_3,서울동부대리점,최이안,010-1801-9944,731198,서울동부 강남대로 100,2종 보통,무,KB손해,3,100,95,93,A,
26_4,서울동부대리점,장성우,010-1876-7154,701105,서울동부 효자동 123-9,2종 보통,무,KB손해,7,95,97,92,C,
26_5,서울동부대리점,정하윤,010-7434-7623,651082,서울동부 효자동 123-9,1종 보통,무,현대해상,3,91,90,100,B,
26_6,서울동부대리점,김민준,010-1387-1893,531117,서울동부 효자동 123-9,1종 대형,무,KB손해,5,93,95,99,C,
26_7,서울동부대리점,김민준,010-6862-4450,561135,서울동부 강남대로 100,1종 대형,무,KB손해,2,90,100,96,B,
26_8,서울동부대리점,박도현,010-8298-5432,551168,서울동부 중앙9길 13,1종 보통,무,DB손해,3,100,94,97,B,
26_9,서울동부대리점,박도현,010-5038-7274,971069,서울동부 중앙9길 13,2종 보통,무,DB손해,8,99,98,95,B,
26_10,서울동부대리점,장성우,010-1949-6350,831054,서울동부 강남대로 100,1종 보통,무,KB손해,2,90,100,100,A,
26_11,서울동부대리점,김민준,010-4785-4659,911174,서울동부 중앙9길 13,2종 보통,무,현대해상,1,97,94,94,C,
26_12,서울동부대리점,강지수,010-3881-3573,891045,서울동부 중앙9길 13,1종 대형,무,KB손해,10,93,97,90,A,
26_13,서울동부대리점,최이안,010-6004-3324,871075,서울동부 효자동 123-9,2종 보통,무,KB손해,0,95,95,96,A,
26_14,서울동부대리점,장성우,010-1920-3176,991040,서울동부 효자동 123-9,2종 보통,무,KB손해,7,94,99,94,C,
26_15,서울동부대리점,최이안,010-6607-7870,731033,서울동부 효자동 123-9,2종 보통,무,현대해상,5,98,92,90,B,
26_16,서울동부대리점,강지수,010-8091-2105,591041,서울동부 강남대로 100,1종 보통,무,DB손해,2,100,99,95,C,
26_17,서울동부대리점,박도현,010-7205-3815,601016,서울동부 효자동 123-9,1종 보통,무,KB손해,10,94,90,97,B,
26_18,서울동부대리점,박도현,010-8413-2044,791063,서울동부 강남대로 100,1종 보통,무,현대해상,6,96,98,91,C,
26_19,서울동부대리점,이서준,010-7627-2614,811013,서울동부 강남대로 100,2종 보통,무,DB손해,1,93,96,97,B,
26_20,서울동부대리점,이서준,010-3412-3696,711165,서울동부 중앙9길 13,2종 보통,무,DB손해,9,98,92,93,C,
26_21,서울동부대리점,송지아,010-1718-9841,691096,서울동부 효자동 123-9,1종 대형,무,현대해상,10,97,93,97,C,
26_22,서울동부대리점,장병국,010-3496-1445,801227,서울동부 중앙9길 13,1종 대형,무,KB손해,3,95,96,91,A,
26_23,서울동부대리점,정하윤,010-6871-8306,881170,서울동부 강남대로 100,2종 보통,무,DB손해,4,91,91,97,C,
26_24,서울동부대리점,정하윤,010-7275-1359,591016,서울동부 중앙9길 13,1종 대형,무,현대해상,10,94,92,96,A,
26_25,서울동부대리점,김민준,010-2206-5508,531071,서울동부 효자동 123-9,1종 보통,무,DB손해,0,90,100,92,C,
26_26,서울동부대리점,김민준,010-6870-9612,541107,서울동부 중앙9길 13,1종 보통,무,DB손해,1,91,91,97,C,
26_27,서울동부대리점,한서아,010-2502-3276,931003,서울동부 강남대로 100,1종 대형,무,KB손해,4,99,91,99,B,
26_28,서울동부대리점,강지수,010-1722-1565,741220,서울동부 효자동 123-9,2종 보통,무,현대해상,5,91,93,91,C,
26_29,서울동부대리점,장성우,010-8916-1822,981093,서울동부 강남대로 100,1종 대형,무,DB손해,8,93,95,90,B,
